section,column
node_surcharge_summary,Max_Height_Above_Crown_Feet
node_surcharge_summary,Min_Depth_Below_Rim_Feet
options,Option
options,Value
orifices,Name
orifices,From Node
orifices,To Node
orifices,Type
orifices,Offset
orifices,Qcoeff
orifices,Gated
orifices,CloseTime
outfalls,Elevation
outfalls,tab2
outfalls,Type
outfalls,tab3
outfalls,Stage Data
outfalls,tab4
outfalls,Gated
outfalls,tab5
outfalls,Route To
outlets,Name
outlets,From Node
outlets,To Node
outlets,Offset
outlets,Type
outlets,QTable/Qcoeff
outlets,Qexpon
outlets,Gated
patterns,Name
patterns,Type
patterns,Multipliers
pollutants,Name
pollutants,Units
pollutants,Crain
pollutants,Cgw
pollutants,Crdii
pollutants,Kdecay
pollutants,SnowOnly
pollutants,Co-Pollutant
pollutants,Co-Frac
pollutants,Cdwf
pollutants,Cinit
pollutant_summary,Name
pollutant_summary,Units
pollutant_summary,Ppt_Concen
pollutant_summary,GW_Concen
pollutant_summary,Kdecay_per_day
pollutant_summary,CoPollutant
pumps,Name
pumps,From Node
pumps,To Node
pumps,Pump Curve
pumps,Status
pumps,Sartup
pumps,Shutoff
pumping_summary,Pump
pumping_summary,Percent_Utilized
pumping_summary,Number_of_Start_Ups
pumping_summary,Min_Flow
pumping_summary,Avg_Flow
pumping_summary,Max_Flow
pumping_summary,Total_Volume
pumping_summary,Power_Usage
pumping_summary,Time_Off_Pump_Curve_Low
pumping_summary,Time_Off_Pump_Curve_High
raingages,Name
raingages,Format
raingages,Interval
raingages,SCF
raingages,Source
raingage_summary,Name
raingage_summary,Data_Source
raingage_summary,Data_Type
raingage_summary,Recording_Interval
snowpacks,Name
snowpacks,Surface
snowpacks,Parameters
storage,Elev.
storage,MaxDepth
storage,InitDepth
storage,Shape
storage,Curve Name/Params
storage,N/A
storage,Fevap
storage,Psi
storage,Ksat
storage,IMD
storage_volume_summary,Storage_Unit
storage_volume_summary,Average_Volume
storage_volume_summary,Avg_Pcnt_Full
storage_volume_summary,Evap_Pcnt_Loss
storage_volume_summary,Exfil_Pcnt_Loss
storage_volume_summary,Maximum_Volume
storage_volume_summary,Max_Pcnt_Full
storage_volume_summary,Time_of_Max_Occurence_days
storage_volume_summary,Time_of_Max_Occurence_hr_min
storage_volume_summary,Maximum_Outflow
subareas,N-Imperv
subareas,N-Perv
subareas,S-Imperv
subareas,S-Perv
subareas,PctZero
subareas,RouteTo
subareas,PctRouted
subcatchments,Name
subcatchments,Rain Gage
subcatchments,Outlet
subcatchments,Area
subcatchments,Perc_Imperv
subcatchments,Width
subcatchments,Perc_Slope
subcatchments,CurbLen
subcatchments,Snowpack
subcatchment_runoff_summary,Subcatchment
subcatchment_runoff_summary,Total_Precip
subcatchment_runoff_summary,Total_Runon
subcatchment_runoff_summary,Total_Evap
subcatchment_runoff_summary,Total_Infil
subcatchment_runoff_summary,Total_Runoff_imperv_Depth
subcatchment_runoff_summary,Total_Runoff_perv_Depth
subcatchment_runoff_summary,Total_Runoff_Depth
subcatchment_runoff_summary,Total_Runoff_Volume
subcatchment_runoff_summary,Total_Peak_Runoff
subcatchment_runoff_summary,Total_Runoff_Coeff
subcatchment_summary,Name
subcatchment_summary,Area
subcatchment_summary,Width
subcatchment_summary,Perc_Imperv
subcatchment_summary,Perc_Slope
subcatchment_summary,Rain_Gage
subcatchment_summary,Outlet
temperature,Data Element
temperature,tab1
temperature,Values
timeseries,Date
timeseries,Time
timeseries,Value
treatment,Node
treatment,Pollutant
treatment,Function
washoff,LandUse
washoff,Pollutant
washoff,Function
washoff,Coeff1
washoff,Coeff2
washoff,SweepRmvl
washoff,BmpRmvl
weirs,From Node
weirs,To Node
weirs,Type
weirs,CrestHt
weirs,Qcoeff
weirs,Gated
weirs,EndCon
weirs,EndCoeff
weirs,Surcharge
weirs,RoadWidth
weirs,RoadSurf
xsections,Shape
xsections,Geom1
xsections,Geom2
xsections,Geom3
xsections,Geom4
xsections,Barrels
xsections,Culvert
